duration(s);cost;bonus;route
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
0.33;854;3808;[0, 4, 6, 7, 9, 2]
