duration(s);cost;bonus;route
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
0.37;800;3541;[0, 4, 6, 3, 2]
