duration(s);cost;bonus;route
9.29;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.25;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.27;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.25;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.26;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.28;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.28;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.26;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.28;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.24;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.24;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.25;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.25;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.27;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.23;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.25;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.24;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.27;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.29;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.28;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.27;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.28;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.24;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.25;8320;31439;[0, 72, 97, 98, 99, 95, 94, 79, 90, 93, 82, 85, 87, 84, 88, 83, 86, 92, 81, 89, 78, 91, 96, 74, 70, 76, 67, 75, 71, 69, 66, 77, 73, 68, 64, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 51, 80]
9.26;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.23;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.24;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
9.22;8296;31439;[0, 92, 99, 97, 91, 96, 95, 86, 81, 98, 84, 88, 90, 89, 93, 94, 85, 67, 72, 69, 83, 75, 70, 76, 73, 80, 74, 79, 82, 78, 71, 77, 68, 64, 66, 65, 52, 53, 58, 59, 57, 56, 61, 60, 54, 55, 63, 62, 87, 51]
