duration(s);cost;bonus;route
2.33;3249;15570;[0, 31, 44, 45, 30, 24, 9, 38, 34, 35, 33, 3, 39, 42, 40, 6, 29, 49, 23, 18, 12]
2.31;3232;15548;[0, 20, 38, 6, 49, 29, 32, 47, 9, 21, 14, 33, 3, 44, 18, 35, 30, 24, 40, 15, 25]
2.31;3188;15598;[0, 20, 27, 13, 29, 32, 44, 39, 6, 49, 23, 9, 38, 3, 24, 15, 25, 18, 35, 47, 33]
2.29;3220;15599;[0, 23, 18, 12, 9, 38, 3, 44, 29, 49, 34, 35, 42, 40, 15, 25, 32, 47, 33, 24]
2.29;3173;15570;[0, 6, 29, 36, 33, 42, 40, 15, 30, 44, 18, 35, 27, 13, 9, 38, 49, 3, 24, 12]
2.31;3199;15802;[0, 30, 35, 42, 3, 38, 6, 40, 32, 44, 18, 12, 23, 29, 49, 9, 33, 24, 15, 45]
2.31;3184;15674;[0, 20, 49, 9, 38, 23, 18, 12, 3, 24, 40, 32, 47, 30, 44, 6, 29, 25, 15, 14, 33]
2.30;3200;15646;[0, 31, 32, 47, 15, 25, 21, 42, 40, 18, 12, 3, 13, 9, 38, 6, 29, 49, 34, 35, 33]
2.34;3199;15750;[0, 20, 38, 6, 49, 40, 41, 47, 15, 30, 44, 18, 24, 9, 33, 3, 13, 29, 25, 4, 31, 21]
2.32;3173;15551;[0, 20, 44, 39, 6, 9, 2, 35, 30, 24, 15, 25, 18, 12, 3, 38, 29, 49, 23, 40, 32]
2.32;3200;15563;[0, 31, 21, 14, 33, 24, 15, 42, 40, 23, 29, 49, 3, 13, 9, 38, 44, 18, 35, 41, 32]
2.33;3223;15557;[0, 20, 27, 19, 32, 36, 38, 6, 49, 9, 35, 42, 40, 18, 12, 3, 39, 23, 29, 25, 21]
2.33;3283;15539;[0, 20, 24, 9, 18, 35, 41, 38, 6, 29, 25, 15, 42, 40, 37, 3, 30, 44, 45, 49, 31, 21]
2.33;3178;15798;[0, 23, 18, 35, 27, 13, 9, 38, 29, 25, 12, 3, 39, 6, 49, 40, 15, 31, 32, 47, 33]
2.28;3127;15592;[0, 31, 24, 12, 23, 29, 32, 33, 3, 44, 18, 35, 42, 40, 41, 47, 9, 38, 6, 49]
2.26;3138;15632;[0, 6, 3, 38, 29, 49, 9, 33, 24, 10, 44, 18, 12, 23, 40, 15, 30, 35, 27, 13]
2.30;3229;15624;[0, 31, 21, 38, 3, 39, 6, 49, 9, 33, 24, 12, 40, 32, 44, 29, 25, 18, 35, 30, 10]
2.29;3183;15576;[0, 6, 29, 25, 15, 30, 35, 42, 40, 32, 33, 3, 38, 23, 18, 24, 9, 27, 13, 4, 31]
2.30;3184;15619;[0, 6, 29, 32, 33, 42, 2, 35, 22, 12, 3, 13, 9, 38, 44, 18, 24, 40, 15, 25, 21]
2.29;3157;15585;[0, 23, 29, 49, 9, 44, 18, 12, 3, 38, 6, 34, 24, 15, 30, 35, 41, 21, 47, 33]
2.32;3146;15743;[0, 42, 40, 41, 47, 15, 25, 12, 23, 18, 35, 30, 24, 9, 33, 3, 38, 6, 29, 49]
2.31;3196;15538;[0, 31, 6, 29, 32, 47, 33, 3, 38, 34, 24, 9, 27, 30, 44, 39, 23, 18, 35, 41, 12]
2.31;3193;15582;[0, 20, 24, 40, 41, 47, 15, 25, 4, 19, 32, 44, 18, 12, 9, 33, 3, 38, 6, 29, 49]
2.30;3115;15579;[0, 31, 24, 9, 27, 13, 12, 40, 3, 38, 29, 32, 44, 6, 49, 23, 18, 35, 41, 21]
2.31;3168;15640;[0, 23, 40, 15, 30, 44, 6, 49, 9, 18, 35, 41, 38, 29, 32, 47, 33, 24, 12, 48]
2.29;3133;15584;[0, 20, 44, 18, 12, 3, 38, 6, 49, 23, 29, 32, 33, 24, 9, 35, 42, 40, 41, 47]
2.33;3167;15535;[0, 20, 44, 18, 24, 9, 27, 13, 4, 19, 33, 3, 38, 6, 29, 49, 23, 40, 15, 25, 32]
2.33;3170;15580;[0, 23, 29, 32, 44, 6, 49, 9, 27, 30, 35, 47, 15, 14, 38, 3, 24, 40, 18, 12]
2.26;3176;15668;[0, 23, 29, 32, 36, 33, 42, 40, 18, 12, 3, 38, 34, 35, 30, 24, 9, 44, 6, 49]
2.30;3148;15562;[0, 33, 24, 40, 15, 30, 35, 41, 32, 44, 18, 12, 3, 39, 6, 29, 49, 9, 27, 21]
