duration(s);cost;bonus;route
2.27;3309;16349;[0, 41, 44, 19, 9, 3, 48, 1, 22, 33, 10, 21, 39, 45, 32, 16, 24, 18, 40, 5, 27, 36, 14]
2.25;3404;16433;[0, 3, 8, 18, 40, 17, 15, 16, 27, 42, 6, 26, 10, 21, 9, 24, 7, 14, 41, 33, 36, 5, 19]
2.26;3411;16411;[0, 3, 27, 12, 30, 44, 2, 1, 42, 9, 33, 36, 41, 16, 24, 18, 40, 48, 17, 6, 21, 28, 38]
2.21;3294;16418;[0, 41, 26, 38, 40, 48, 1, 22, 44, 21, 9, 3, 8, 45, 32, 16, 27, 36, 5, 19, 33, 14]
2.25;3395;16421;[0, 3, 8, 26, 38, 44, 19, 33, 21, 9, 30, 16, 24, 31, 48, 1, 27, 18, 40, 17, 6, 7, 14]
2.20;3409;16374;[0, 47, 40, 17, 26, 38, 14, 33, 36, 29, 42, 6, 1, 16, 35, 27, 31, 48, 44, 19, 9, 3]
2.25;3356;16570;[0, 41, 26, 49, 19, 6, 2, 47, 40, 17, 34, 42, 16, 27, 36, 5, 3, 48, 1, 8, 21, 9, 14]
2.22;3365;16509;[0, 17, 26, 35, 30, 44, 2, 1, 40, 48, 36, 27, 47, 32, 16, 24, 42, 21, 9, 3, 38, 14]
2.25;3369;16396;[0, 19, 1, 22, 33, 36, 41, 16, 24, 18, 26, 38, 40, 5, 12, 30, 44, 31, 32, 27, 42, 21, 39]
2.26;3404;16350;[0, 17, 6, 26, 49, 13, 36, 41, 33, 21, 9, 3, 27, 42, 16, 12, 24, 7, 19, 1, 5, 38, 14]
2.20;3467;16343;[0, 41, 16, 17, 34, 42, 6, 12, 5, 3, 8, 45, 22, 33, 1, 48, 44, 2, 47, 32, 46, 19, 9]
2.22;3335;16334;[0, 47, 32, 27, 36, 22, 33, 14, 41, 16, 35, 30, 3, 38, 19, 1, 40, 5, 24, 42, 21, 9]
2.19;3411;16362;[0, 14, 30, 44, 17, 26, 38, 19, 9, 3, 27, 33, 1, 2, 47, 32, 16, 24, 31, 48, 36, 5]
2.22;3335;16563;[0, 41, 9, 14, 19, 33, 10, 21, 44, 17, 6, 26, 38, 3, 48, 1, 2, 47, 32, 27, 42, 16]
2.19;3377;16478;[0, 17, 26, 35, 25, 41, 33, 36, 5, 3, 42, 30, 19, 1, 22, 44, 31, 32, 16, 21, 9, 14]
2.25;3419;16427;[0, 14, 19, 9, 25, 1, 16, 30, 41, 33, 36, 38, 40, 17, 15, 2, 47, 26, 35, 27, 42, 24, 7]
2.25;3358;16427;[0, 3, 48, 1, 8, 45, 22, 33, 14, 16, 24, 31, 42, 30, 44, 17, 6, 26, 38, 36, 10, 21, 9]
2.21;3373;16360;[0, 6, 26, 49, 27, 42, 21, 9, 14, 5, 12, 30, 44, 38, 33, 36, 41, 48, 1, 16, 35, 34]
2.17;3333;16384;[0, 41, 16, 35, 22, 33, 1, 2, 34, 18, 40, 17, 6, 21, 9, 5, 3, 27, 42, 26, 38, 14]
2.25;3348;16407;[0, 17, 15, 16, 24, 9, 3, 38, 40, 48, 1, 8, 45, 22, 33, 36, 41, 30, 44, 19, 6, 21, 39]
2.26;3417;16359;[0, 28, 38, 14, 2, 47, 32, 48, 36, 22, 33, 1, 40, 17, 6, 45, 27, 42, 16, 12, 5, 19, 9]
2.23;3347;16404;[0, 3, 8, 21, 9, 5, 27, 36, 41, 35, 30, 44, 38, 40, 17, 34, 42, 7, 14, 19, 1, 16]
2.23;3357;16433;[0, 41, 28, 38, 33, 1, 42, 30, 16, 24, 18, 40, 17, 6, 26, 10, 21, 9, 3, 8, 7, 14, 19]
2.21;3383;16478;[0, 33, 21, 9, 3, 48, 17, 34, 42, 30, 44, 5, 38, 14, 19, 1, 22, 35, 32, 27, 12, 16]
2.20;3341;16461;[0, 17, 15, 27, 36, 5, 19, 14, 41, 16, 35, 22, 33, 1, 42, 21, 9, 3, 48, 44, 38, 28]
2.20;3350;16381;[0, 17, 5, 12, 16, 35, 21, 9, 33, 1, 32, 27, 42, 6, 26, 7, 28, 38, 3, 48, 44, 19]
2.23;3418;16362;[0, 33, 15, 25, 44, 17, 6, 2, 36, 29, 47, 32, 27, 42, 3, 48, 1, 16, 35, 21, 9, 14]
2.12;3371;16350;[0, 41, 26, 35, 21, 9, 16, 17, 5, 12, 30, 44, 38, 14, 19, 33, 1, 32, 27, 42, 7]
2.13;3376;16367;[0, 3, 8, 21, 9, 14, 5, 38, 40, 17, 26, 1, 48, 12, 29, 42, 16, 35, 30, 44, 19]
2.21;3301;16542;[0, 17, 6, 21, 9, 14, 41, 16, 24, 18, 26, 35, 22, 33, 36, 5, 19, 1, 27, 42, 7, 38]
