duration(s);cost;bonus;route
2.46;3526;16558;[0, 41, 8, 21, 9, 14, 23, 32, 16, 35, 11, 19, 39, 17, 26, 38, 40, 5, 27, 36, 22, 33, 6]
2.43;3592;16417;[0, 28, 35, 16, 24, 37, 39, 19, 33, 1, 40, 21, 9, 30, 49, 48, 17, 6, 45, 32, 27, 47, 36, 14]
2.48;3657;16385;[0, 9, 13, 12, 29, 42, 35, 22, 17, 15, 2, 47, 7, 19, 1, 40, 5, 3, 8, 45, 21, 39, 43, 16]
2.44;3541;16375;[0, 19, 33, 14, 41, 6, 18, 40, 32, 2, 1, 22, 44, 27, 36, 5, 3, 42, 35, 25, 8, 21, 39]
2.47;3526;16441;[0, 28, 2, 47, 40, 5, 24, 31, 42, 16, 35, 3, 48, 1, 22, 44, 21, 39, 17, 12, 9, 33, 10, 7]
2.53;3501;16369;[0, 3, 27, 39, 45, 21, 9, 5, 12, 24, 18, 40, 16, 35, 22, 33, 42, 30, 44, 2, 1, 13, 7, 14]
2.52;3494;16467;[0, 41, 26, 49, 27, 14, 19, 39, 17, 40, 48, 44, 5, 3, 8, 21, 9, 33, 1, 11, 47, 12, 35]
2.54;3571;16408;[0, 17, 6, 2, 1, 40, 10, 21, 9, 5, 38, 3, 42, 24, 39, 19, 14, 8, 45, 27, 31, 48, 44, 34]
2.54;3568;16449;[0, 3, 8, 34, 22, 33, 14, 41, 16, 24, 12, 1, 27, 36, 10, 21, 9, 49, 19, 39, 31, 48, 44, 5]
2.51;3535;16681;[0, 17, 34, 42, 40, 21, 39, 5, 3, 32, 16, 24, 12, 48, 1, 22, 33, 36, 41, 4, 28, 38, 14, 19]
2.47;3639;16397;[0, 17, 5, 27, 36, 41, 9, 33, 14, 19, 1, 8, 45, 7, 28, 16, 24, 23, 43, 3, 48, 25, 11, 32, 39]
2.43;3584;16681;[0, 14, 5, 15, 41, 9, 45, 21, 39, 17, 20, 32, 16, 35, 22, 33, 6, 1, 40, 48, 44, 13, 28, 25]
2.47;3589;16430;[0, 38, 30, 35, 5, 3, 27, 12, 29, 7, 8, 45, 1, 48, 33, 39, 17, 6, 21, 25, 19, 9, 14]
2.50;3551;16495;[0, 22, 32, 27, 18, 45, 21, 44, 2, 39, 17, 5, 12, 9, 33, 1, 40, 14, 41, 26, 7, 38, 3]
2.53;3623;16629;[0, 3, 8, 26, 35, 22, 20, 46, 14, 41, 9, 33, 10, 42, 30, 25, 19, 36, 40, 17, 15, 16, 24, 7, 38]
2.48;3536;16735;[0, 41, 18, 40, 5, 3, 48, 1, 16, 35, 25, 19, 9, 33, 14, 8, 39, 17, 34, 30, 44, 21, 28]
2.52;3619;16471;[0, 9, 21, 15, 2, 47, 12, 1, 40, 5, 3, 8, 45, 24, 39, 28, 27, 20, 32, 16, 17, 26, 35, 25]
2.47;3510;16702;[0, 44, 48, 36, 41, 4, 3, 8, 45, 32, 16, 35, 34, 42, 6, 2, 33, 1, 40, 17, 5, 19, 9]
2.51;3617;16607;[0, 47, 48, 44, 19, 9, 14, 41, 16, 35, 8, 45, 22, 33, 1, 24, 17, 26, 4, 28, 27, 31, 42, 7]
2.53;3621;16480;[0, 14, 21, 44, 2, 34, 23, 27, 1, 8, 26, 38, 47, 7, 19, 9, 3, 32, 16, 17, 5, 24, 39]
2.53;3653;16333;[0, 41, 26, 38, 30, 16, 24, 9, 5, 21, 39, 6, 37, 2, 44, 10, 45, 1, 22, 33, 42, 43, 14, 11]
2.61;3610;16384;[0, 9, 33, 3, 27, 12, 30, 44, 2, 20, 21, 8, 45, 1, 40, 35, 22, 17, 5, 38, 28, 49, 19, 14]
2.57;3599;16333;[0, 22, 30, 8, 26, 10, 21, 15, 25, 19, 9, 5, 24, 14, 33, 47, 32, 16, 3, 48, 1, 13, 17]
2.57;3527;16357;[0, 17, 23, 5, 3, 48, 1, 8, 45, 32, 27, 36, 41, 28, 2, 47, 15, 25, 30, 38, 33, 10, 21, 9]
2.48;3481;16380;[0, 41, 26, 38, 3, 42, 40, 48, 1, 2, 34, 39, 19, 44, 13, 36, 22, 33, 21, 9, 14, 16, 35]
2.54;3732;16353;[0, 47, 26, 38, 8, 9, 19, 36, 27, 33, 10, 21, 20, 18, 31, 48, 17, 34, 42, 24, 12, 29, 15, 7, 28]
2.43;3561;16564;[0, 17, 34, 42, 30, 3, 5, 15, 16, 35, 18, 40, 10, 26, 49, 13, 36, 41, 48, 1, 27, 9, 33, 39]
2.41;3549;17316;[0, 17, 5, 12, 1, 22, 44, 13, 31, 42, 16, 35, 3, 27, 47, 26, 38, 40, 21, 9, 33, 36, 46, 19, 39]
2.49;3600;16574;[0, 14, 16, 35, 49, 29, 28, 38, 3, 27, 44, 13, 42, 30, 25, 19, 1, 40, 10, 21, 39, 36, 22, 17, 34]
2.42;3585;16661;[0, 28, 25, 30, 24, 42, 16, 35, 5, 12, 29, 39, 19, 1, 2, 31, 48, 6, 21, 9, 3, 27, 33, 14]
