duration(s);cost;bonus;route
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.37;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.37;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.38;840;3471;[0, 6, 7, 4, 1, 5]
0.39;840;3471;[0, 6, 7, 4, 1, 5]
0.37;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.37;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.37;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
0.36;840;3471;[0, 6, 7, 4, 1, 5]
