duration(s);cost;bonus;route
9.21;6616;31884;[0, 72, 18, 21, 29, 50, 86, 93, 36, 84, 19, 43, 67, 11, 96, 98, 63, 7, 95, 88, 38, 45, 65, 53, 37, 80, 73, 52, 15, 6, 99, 49, 77, 46, 89, 27, 78, 44, 66, 8, 60, 32, 55, 92, 3]
9.27;6604;31628;[0, 22, 29, 62, 81, 66, 24, 27, 7, 95, 59, 84, 75, 1, 21, 18, 89, 10, 3, 4, 15, 78, 32, 35, 6, 46, 30, 90, 43, 8, 55, 61, 68, 16, 2, 86, 13, 49, 77, 87, 47, 12, 67, 64, 41]
9.21;6497;31779;[0, 32, 35, 6, 15, 55, 8, 66, 58, 60, 81, 47, 87, 77, 49, 13, 70, 17, 30, 28, 83, 78, 86, 50, 61, 96, 11, 18, 21, 1, 27, 7, 95, 75, 84, 19, 43, 90, 63, 68, 29, 12, 38, 2]
9.24;6493;31839;[0, 3, 21, 1, 46, 33, 4, 15, 52, 73, 80, 76, 56, 47, 12, 84, 7, 63, 70, 17, 81, 75, 87, 64, 67, 43, 79, 92, 42, 49, 29, 50, 86, 78, 32, 55, 8, 98, 66, 58, 60, 36, 72, 90]
9.20;6528;31754;[0, 72, 74, 49, 77, 79, 63, 25, 46, 89, 18, 11, 67, 50, 81, 60, 32, 78, 12, 36, 1, 75, 30, 14, 37, 38, 98, 8, 66, 24, 27, 7, 84, 52, 15, 23, 47, 87, 91, 96, 61, 55, 92, 69, 2]
9.16;6501;31867;[0, 2, 16, 27, 14, 86, 78, 63, 90, 72, 74, 25, 35, 6, 46, 89, 10, 7, 84, 75, 95, 5, 18, 62, 29, 73, 91, 87, 77, 98, 8, 66, 42, 80, 58, 60, 36, 12, 47, 56, 26, 38, 3, 92, 44]
9.24;6521;31718;[0, 2, 58, 23, 22, 92, 55, 8, 98, 66, 87, 77, 49, 13, 89, 46, 1, 27, 78, 91, 67, 43, 19, 84, 52, 73, 30, 17, 81, 75, 95, 7, 63, 68, 65, 32, 35, 6, 82, 18, 50, 86, 47, 9, 90]
9.30;6459;31661;[0, 72, 18, 11, 56, 6, 35, 25, 93, 36, 12, 67, 55, 61, 44, 92, 42, 49, 74, 86, 78, 32, 95, 7, 63, 20, 64, 97, 2, 58, 60, 81, 75, 9, 47, 27, 33, 98, 66, 8, 71, 89, 10, 3]
9.17;6485;31855;[0, 41, 20, 89, 10, 7, 63, 78, 27, 2, 49, 88, 46, 30, 73, 35, 62, 18, 11, 67, 91, 58, 60, 81, 50, 29, 22, 44, 92, 79, 77, 98, 66, 87, 47, 56, 1, 75, 84, 19, 61, 55, 8, 74, 72]
9.28;6565;31622;[0, 10, 7, 45, 30, 75, 81, 97, 64, 84, 52, 73, 91, 67, 43, 90, 95, 69, 42, 49, 29, 62, 35, 92, 55, 24, 66, 8, 98, 33, 27, 78, 32, 60, 58, 2, 16, 99, 6, 89, 46, 77, 79, 63, 54]
