duration(s);cost;bonus;route
9.53;7094;31515;[0, 53, 99, 79, 75, 46, 52, 59, 93, 63, 82, 74, 94, 89, 56, 95, 87, 85, 96, 90, 80, 61, 68, 81, 84, 83, 70, 62, 65, 97, 58, 71, 72, 92, 57, 66, 88, 78, 91, 77, 76, 86, 55, 69, 98, 64, 67, 60, 73, 54]
9.53;7088;31216;[0, 53, 99, 66, 88, 78, 91, 61, 68, 81, 84, 60, 67, 96, 85, 51, 74, 82, 59, 52, 70, 89, 94, 83, 65, 62, 71, 72, 75, 79, 93, 63, 87, 95, 90, 80, 57, 92, 56, 64, 98, 69, 55, 86, 76, 77, 58, 97, 73, 54]
9.62;7088;31216;[0, 53, 99, 66, 88, 78, 91, 61, 68, 81, 84, 60, 67, 96, 85, 51, 74, 82, 59, 52, 70, 89, 94, 83, 65, 62, 71, 72, 75, 79, 93, 63, 87, 95, 90, 80, 57, 92, 56, 64, 98, 69, 55, 86, 76, 77, 58, 97, 73, 54]
9.59;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.54;7088;31216;[0, 53, 99, 66, 88, 78, 91, 61, 68, 81, 84, 60, 67, 96, 85, 51, 74, 82, 59, 52, 70, 89, 94, 83, 65, 62, 71, 72, 75, 79, 93, 63, 87, 95, 90, 80, 57, 92, 56, 64, 98, 69, 55, 86, 76, 77, 58, 97, 73, 54]
9.72;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.59;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.64;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.58;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.45;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.47;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.46;7094;31515;[0, 53, 99, 79, 75, 46, 52, 59, 93, 63, 82, 74, 94, 89, 56, 95, 87, 85, 96, 90, 80, 61, 68, 81, 84, 83, 70, 62, 65, 97, 58, 71, 72, 92, 57, 66, 88, 78, 91, 77, 76, 86, 55, 69, 98, 64, 67, 60, 73, 54]
9.45;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.50;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.49;7089;31509;[0, 59, 52, 87, 95, 81, 68, 70, 83, 94, 89, 54, 73, 97, 58, 77, 86, 76, 91, 61, 80, 90, 85, 96, 67, 60, 55, 92, 57, 66, 88, 16, 98, 69, 65, 62, 71, 72, 75, 79, 99, 74, 82, 63, 93, 78, 64, 84, 56, 53]
9.54;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.50;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.51;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.53;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.50;7089;31509;[0, 59, 52, 87, 95, 81, 68, 70, 83, 94, 89, 54, 73, 97, 58, 77, 86, 76, 91, 61, 80, 90, 85, 96, 67, 60, 55, 92, 57, 66, 88, 16, 98, 69, 65, 62, 71, 72, 75, 79, 99, 74, 82, 63, 93, 78, 64, 84, 56, 53]
9.53;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.46;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.45;7088;31216;[0, 53, 99, 66, 88, 78, 91, 61, 68, 81, 84, 60, 67, 96, 85, 51, 74, 82, 59, 52, 70, 89, 94, 83, 65, 62, 71, 72, 75, 79, 93, 63, 87, 95, 90, 80, 57, 92, 56, 64, 98, 69, 55, 86, 76, 77, 58, 97, 73, 54]
9.47;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.46;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.49;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.50;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.61;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.61;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
9.47;7085;31351;[0, 93, 59, 52, 70, 83, 65, 62, 71, 72, 97, 58, 77, 91, 78, 64, 98, 69, 57, 92, 95, 81, 68, 61, 85, 96, 90, 80, 84, 60, 67, 73, 54, 8, 87, 86, 76, 66, 88, 79, 75, 55, 63, 82, 99, 74, 94, 89, 56, 53]
