duration(s);cost;bonus;route
0.65;1581;5914;[0, 11, 15, 17, 14, 10, 16, 12, 7, 4]
0.64;1626;5995;[0, 18, 13, 10, 12, 16, 17, 15, 11, 4]
0.64;1626;5995;[0, 18, 13, 10, 12, 16, 17, 15, 11, 4]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.62;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.63;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1605;5999;[0, 7, 12, 16, 19, 14, 10, 6, 18, 11, 15]
0.64;1605;5999;[0, 7, 12, 16, 19, 14, 10, 6, 18, 11, 15]
0.62;1626;5995;[0, 4, 18, 13, 10, 12, 16, 17, 15, 11]
0.64;1570;5994;[0, 11, 15, 17, 19, 16, 10, 6, 18, 4]
0.64;1570;5994;[0, 11, 15, 17, 19, 16, 10, 6, 18, 4]
0.64;1558;5888;[0, 8, 14, 10, 12, 16, 17, 15, 11, 4]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.63;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.62;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.62;1591;6061;[0, 11, 15, 17, 16, 19, 14, 6, 18, 4]
0.63;1591;6061;[0, 11, 15, 17, 16, 19, 14, 6, 18, 4]
0.64;1558;5888;[0, 8, 14, 10, 12, 16, 17, 15, 11, 4]
0.64;1558;5888;[0, 4, 11, 15, 17, 16, 12, 10, 14, 8]
0.65;1558;5888;[0, 4, 11, 15, 17, 16, 12, 10, 14, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1558;5888;[0, 8, 14, 10, 12, 16, 17, 15, 11, 4]
0.64;1558;5888;[0, 8, 14, 10, 12, 16, 17, 15, 11, 4]
0.64;1558;5888;[0, 4, 11, 15, 17, 16, 12, 10, 14, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1592;6175;[0, 7, 12, 16, 19, 2, 18, 11, 15, 17, 8]
0.64;1558;5888;[0, 4, 11, 15, 17, 16, 12, 10, 14, 8]
