duration(s);cost;bonus;route
0.50;1490;5921;[0, 15, 11, 18, 2, 19, 16, 12, 7, 4]
0.51;1456;5883;[0, 15, 11, 5, 12, 16, 19, 2, 4]
0.52;1456;5883;[0, 15, 11, 5, 12, 16, 19, 2, 4]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.52;1490;5938;[0, 8, 13, 18, 6, 17, 15, 11, 2, 4]
0.52;1490;5938;[0, 8, 13, 18, 6, 17, 15, 11, 2, 4]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.50;1469;5978;[0, 15, 11, 18, 6, 16, 19, 2, 4, 8]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.48;1480;6017;[0, 4, 11, 15, 9, 5, 12, 16, 3]
0.48;1480;6017;[0, 4, 11, 15, 9, 5, 12, 16, 3]
0.51;1490;5938;[0, 4, 2, 11, 15, 17, 6, 18, 13, 8]
0.51;1490;5938;[0, 4, 2, 11, 15, 17, 6, 18, 13, 8]
0.50;1490;5921;[0, 7, 12, 16, 19, 2, 4, 18, 11, 15]
0.50;1490;5921;[0, 7, 12, 16, 19, 2, 4, 18, 11, 15]
0.47;1456;6058;[0, 8, 16, 12, 5, 9, 15, 11, 4]
