duration(s);cost;bonus;route
2.27;3558;15276;[0, 28, 21, 42, 43, 44, 14, 47, 13, 15, 29, 12, 7, 23, 8, 45, 39, 35, 36, 1, 4, 5, 41, 10]
2.35;3554;15433;[0, 10, 38, 45, 7, 24, 19, 11, 17, 2, 41, 32, 40, 23, 6, 48, 31, 26, 14, 44, 43, 42, 21, 28, 35]
2.23;3635;15170;[0, 21, 28, 38, 34, 18, 14, 39, 13, 26, 24, 47, 49, 32, 37, 11, 17, 44, 43, 12, 4, 30, 3]
2.23;3578;15334;[0, 42, 33, 45, 38, 10, 37, 32, 30, 15, 29, 36, 43, 44, 17, 11, 16, 3, 41, 5, 22, 4, 20, 28]
2.31;3585;15345;[0, 21, 1, 32, 41, 26, 23, 8, 13, 43, 44, 12, 40, 47, 31, 39, 45, 27, 2, 19, 48, 20, 49, 33, 42]
2.32;3590;15587;[0, 3, 9, 4, 2, 41, 11, 17, 30, 36, 13, 26, 24, 8, 34, 19, 48, 20, 49, 33, 15, 14, 1, 21, 28]
2.19;3608;15082;[0, 10, 49, 41, 3, 30, 4, 2, 37, 9, 23, 8, 24, 47, 13, 44, 48, 39, 29, 18, 34, 42, 28]
2.37;3643;15345;[0, 28, 46, 45, 38, 9, 6, 3, 16, 41, 5, 30, 4, 1, 36, 29, 32, 37, 14, 44, 48, 19, 24, 47, 43, 42]
2.34;3552;15237;[0, 32, 49, 33, 29, 43, 44, 14, 47, 31, 22, 40, 25, 1, 3, 27, 11, 41, 4, 9, 38, 45, 18, 34, 42]
2.35;3601;15130;[0, 32, 29, 12, 7, 45, 18, 34, 8, 44, 25, 26, 9, 38, 2, 17, 11, 16, 3, 20, 27, 35, 28, 21, 31]
2.24;3614;15262;[0, 10, 48, 8, 13, 7, 44, 43, 47, 31, 36, 35, 22, 40, 25, 41, 46, 28, 20, 11, 17, 33, 29, 32]
2.37;3524;15421;[0, 3, 16, 19, 34, 8, 13, 26, 31, 48, 20, 49, 33, 29, 12, 44, 17, 23, 9, 6, 30, 5, 41, 4, 1, 14]
2.33;3592;15411;[0, 32, 30, 43, 13, 47, 31, 36, 14, 1, 25, 23, 26, 45, 8, 34, 19, 11, 20, 4, 2, 17, 33, 42, 21]
2.36;3517;15466;[0, 10, 38, 19, 5, 41, 4, 30, 26, 25, 29, 33, 18, 23, 8, 24, 37, 14, 44, 43, 47, 31, 36, 35, 21]
2.34;3545;16512;[0, 32, 29, 33, 35, 36, 40, 12, 20, 5, 41, 3, 48, 4, 1, 21, 31, 47, 13, 26, 24, 8, 45, 38, 10]
2.32;3516;15316;[0, 21, 28, 35, 39, 45, 7, 23, 18, 34, 22, 31, 47, 24, 26, 41, 4, 2, 17, 11, 20, 12, 44, 14]
2.25;3501;15755;[0, 32, 30, 17, 11, 16, 3, 20, 28, 46, 41, 26, 34, 18, 48, 44, 43, 47, 23, 9, 38, 2, 27, 10]
2.35;3596;15525;[0, 10, 49, 33, 29, 43, 47, 12, 6, 20, 27, 7, 45, 18, 15, 41, 4, 37, 32, 1, 25, 26, 42, 21, 28]
2.35;3593;15419;[0, 14, 44, 43, 47, 31, 39, 45, 8, 24, 7, 13, 6, 3, 16, 33, 29, 15, 41, 4, 19, 5, 26, 42, 21]
2.32;3576;15414;[0, 10, 41, 3, 20, 12, 40, 36, 31, 47, 24, 26, 25, 1, 14, 15, 30, 43, 29, 33, 18, 45, 39, 35, 28]
2.28;3553;15451;[0, 28, 38, 45, 18, 34, 19, 4, 2, 37, 11, 17, 44, 26, 13, 47, 49, 32, 29, 36, 23, 9, 6, 3]
2.31;3567;15093;[0, 10, 49, 33, 18, 48, 5, 41, 4, 2, 7, 12, 40, 47, 31, 37, 14, 44, 17, 11, 27, 19, 34, 42, 21]
2.28;3558;15179;[0, 42, 26, 41, 3, 1, 36, 29, 12, 47, 7, 45, 8, 34, 19, 48, 20, 11, 17, 2, 37, 9, 38, 10]
2.21;3509;15204;[0, 10, 38, 2, 20, 28, 35, 36, 31, 47, 40, 23, 7, 44, 17, 30, 32, 29, 25, 1, 3, 41, 42]
2.22;3619;15118;[0, 28, 46, 41, 2, 27, 10, 48, 3, 1, 32, 30, 16, 11, 33, 29, 12, 40, 22, 47, 13, 8, 26, 42]
2.23;3536;15327;[0, 10, 38, 20, 48, 5, 19, 3, 27, 46, 12, 44, 43, 47, 13, 8, 23, 18, 33, 17, 30, 32, 1, 21]
2.27;3643;15324;[0, 10, 19, 5, 41, 39, 1, 36, 40, 47, 13, 8, 23, 18, 33, 11, 16, 3, 6, 20, 12, 7, 26, 42]
2.30;3609;15071;[0, 10, 49, 33, 29, 36, 40, 47, 31, 37, 14, 44, 13, 6, 30, 17, 23, 18, 45, 34, 46, 41, 32, 1, 21]
2.35;3557;15226;[0, 14, 44, 17, 11, 37, 24, 8, 13, 43, 29, 36, 35, 39, 48, 4, 20, 49, 33, 18, 23, 9, 27, 46, 28]
2.24;3535;15398;[0, 3, 48, 20, 11, 17, 2, 4, 1, 32, 29, 33, 45, 7, 34, 6, 9, 23, 26, 13, 15, 41, 46, 28]
